date,total_value,cash,invested,daily_return,cumulative_return
2026-06-11,1000000.0,873605.0500183105,126394.94998168944,0.0,0.0
2026-06-12,1000394.344543457,274522.43882751465,725871.9057159424,0.0003943445434571,0.0003943445434571
2026-06-13,1000394.344543457,286725.4609222412,713668.8836212158,0.0,0.0003943445434571
2026-06-26,989383.072982788,263701.7707061768,725681.3022766113,-0.011006931037474,-0.0106169270172119
2026-06-27,989383.072982788,263701.7707061768,725681.3022766113,2.220446049250313e-16,-0.0106169270172119
2026-06-29,997454.9403533936,297220.0217437744,700234.9186096191,0.0081584854148257,-0.0025450596466064
2026-06-30,1004425.7610015868,270921.4118499756,733504.3491516113,0.0069886070700333,0.0044257610015869
2026-07-01,1011943.926651001,285234.2617340088,726709.6649169922,0.0074850386572296,0.011943926651001
2026-07-02,1020520.0289459229,285234.2617340088,735285.7672119141,0.0084748789622211,0.0205200289459228
2026-07-03,1020473.8488769532,272875.3515625,747598.4973144531,-4.525150674150602e-05,0.0204738488769531
2026-07-06,1022983.0547180176,266626.5515136719,756356.5032043457,0.0024588634425328,0.0229830547180176
2026-07-07,1029123.6059875488,263498.2015991211,765625.4043884277,0.0060025933383851,0.0291236059875488
2026-07-08,1027139.1314086914,286729.8005676269,740409.3308410645,-0.0019283150899576,0.0271391314086915
2026-07-09,1024603.3000793456,283582.2004699707,741021.099609375,-0.0024688294426753,0.0246033000793457
2026-07-10,1030219.6591796876,283582.2004699707,746637.4587097168,0.0054814962043425,0.0302196591796874
2026-07-13,1028504.312652588,291454.60037231445,737049.7122802734,-0.0016650298912618,0.0285043126525879
2026-07-14,1030358.551513672,293441.4503479004,736917.1011657715,0.0018028498648698,0.0303585515136719
2026-07-15,1040358.6701965332,222495.7784729004,817862.8917236328,0.0097054745342486,0.0403586701965332
2026-07-16,1035711.4849700928,222495.7784729004,813215.7064971924,-0.0044669068077863,0.0357114849700928
2026-07-17,1029456.0593109131,222495.7784729004,806960.2808380127,-0.006039737658562583,0.029456059310912996
